PCName,PCType,Sex,Category,Age,Party
Adilabad,ST,M,ST,43,TDP
Peddapalle,SC,M,SC,51,INC
Karimnagar,GEN,M,GEN,41,INC
Nizamabad,GEN,M,GEN,50,INC
Zahirabad,GEN,M,GEN,46,INC
Medak,GEN,F,GEN,43,TRS
Malkajgiri,GEN,M,SC,54,INC
Secundrabad,GEN,M,GEN,47,INC
Hyderabad,GEN,M,GEN,41,AIMIM
CHELVELLA,GEN,M,GEN,67,INC
Mahbubnagar,GEN,M,GEN,55,TRS
Nagarkurnool,SC,M,SC,57,INC
Nalgonda,GEN,M,GEN,55,INC
Bhongir,GEN,M,GEN,41,INC
Warangal,SC,M,SC,55,INC
Mahabubabad,ST,M,ST,45,INC
Khammam,GEN,M,GEN,50,TDP
Aruku,ST,M,ST,62,INC
Srikakulam,GEN,F,GEN,47,INC
Vizianagaram,GEN,F,GEN,45,INC
Visakhapatnam,GEN,F,GEN,49,INC
Anakapalli,GEN,M,GEN,55,INC
Kakinada,GEN,M,GEN,46,INC
Amalapuram,SC,M,SC,50,INC
Rajahmundry,GEN,M,GEN,54,INC
Narsapuram,GEN,M,GEN,61,INC
Eluru,GEN,M,GEN,65,INC
Machilipatnam,GEN,M,GEN,59,TDP
Vijayawada,GEN,M,GEN,45,INC
Guntur,GEN,M,GEN,65,INC
Narasaraopet,GEN,M,GEN,42,TDP
Bapatla,SC,F,SC,50,INC
Ongole,GEN,M,GEN,55,INC
Nandyal,GEN,M,GEN,59,INC
Kurnool,GEN,M,GEN,57,INC
Anantapur,GEN,M,GEN,52,INC
Hindupur,GEN,M,GEN,52,TDP
Kadapa,GEN,M,GEN,36,INC
Nellore,GEN,M,GEN,59,INC
Tirupati,SC,M,SC,54,INC
Rajampet,GEN,M,GEN,64,INC
Chittoor,SC,M,SC,57,TDP
Arunachal West,GEN,M,ST,42,INC
Arunachal East,GEN,M,ST,50,INC
Karimganj,SC,M,SC,68,INC
Silchar,GEN,M,GEN,74,BJP
Autonomous District,ST,M,ST,64,INC
Dhubri,GEN,M,GEN,54,AUDF
Kokrajhar,ST,M,ST,49,BOPF
Barpeta,GEN,M,GEN,55,INC
Gauhati,GEN,F,GEN,70,BJP
Mangaldoi,GEN,M,GEN,55,BJP
Tezpur,GEN,M,GEN,60,AGP
Nowgong,GEN,M,GEN,57,BJP
Kaliabor,GEN,M,GEN,57,INC
Jorhat,GEN,M,GEN,77,INC
Dibrugarh,GEN,M,GEN,60,INC
Lakhimpur,GEN,F,GEN,45,INC
Valmiki Nagar,GEN,M,GEN,51,JD(U)
Paschim Champaran,GEN,M,GEN,44,BJP
Purvi Champaran,GEN,M,GEN,59,BJP
Sheohar,GEN,F,GEN,60,BJP
Sitamarhi,GEN,M,GEN,37,JD(U)
Madhubani,GEN,M,GEN,72,BJP
Jhanjharpur,GEN,M,GEN,60,JD(U)
Supaul,GEN,M,GEN,47,JD(U)
Araria,GEN,M,GEN,43,BJP
Kishanganj,GEN,M,GEN,62,INC
Katihar,GEN,M,GEN,63,BJP
Purnia,GEN,M,GEN,57,BJP
Madhepura,GEN,M,GEN,61,JD(U)
Darbhanga,GEN,M,GEN,48,BJP
Muzaffarpur,GEN,M,GEN,78,JD(U)
Vaishali,GEN,M,GEN,62,RJD
Gopalganj,SC,M,SC,52,JD(U)
Siwan,GEN,M,GEN,43,IND
Maharajganj,GEN,M,GEN,61,RJD
Saran,GEN,M,GEN,60,RJD
Hajipur,SC,M,SC,88,JD(U)
Ujiarpur,GEN,F,GEN,40,JD(U)
Samastipur,SC,M,SC,38,JD(U)
Begusarai,GEN,M,GEN,51,JD(U)
Khagaria,GEN,M,GEN,50,JD(U)
Bhagalpur,GEN,M,GEN,40,BJP
Banka,GEN,M,GEN,54,IND
Munger,GEN,M,GEN,55,JD(U)
Nalanda,GEN,M,GEN,44,JD(U)
Patna Sahib,GEN,M,GEN,62,BJP
Pataliputra,GEN,M,GEN,64,JD(U)
Arrah,GEN,F,GEN,44,JD(U)
Buxar,GEN,M,GEN,65,RJD
Sasaram,SC,F,SC,63,INC
Karakat,GEN,M,GEN,54,JD(U)
Jahanabad,GEN,M,GEN,58,JD(U)
Aurangabad,GEN,M,GEN,43,JD(U)
Gaya,SC,M,SC,47,BJP
Nawada,GEN,M,GEN,70,BJP
Jamui,SC,M,SC,46,JD(U)
North Goa,GEN,M,GEN,56,BJP
South Goa,GEN,M,GEN,62,INC
Kachchh,SC,F,SC,37,BJP
Banaskantha,GEN,M,GEN,47,INC
Patan,GEN,M,GEN,51,INC
Mahesana,GEN,F,GEN,50,BJP
Sabarkantha,GEN,M,GEN,55,BJP
Gandhinagar,GEN,M,GEN,81,BJP
Ahmedabad East,GEN,M,GEN,62,BJP
Ahmedabad West,SC,M,SC,59,BJP
Surendranagar,GEN,M,GEN,68,INC
Rajkot,GEN,M,GEN,54,INC
Porbandar,GEN,M,GEN,51,INC
Jamnagar,GEN,M,GEN,51,INC
Junagadh,GEN,M,GEN,51,BJP
Amreli,GEN,M,GEN,53,BJP
Bhavnagar,GEN,M,GEN,53,BJP
Anand,GEN,M,GEN,55,INC
Kheda,GEN,M,GEN,71,INC
